,Area,N_vertices,Perimetro,Class
325,1575.0,7,1273.4255331754684,2
326,1602.5,7,1270.8397463560104,2
327,1584.0,8,1271.910814166069,2
328,16159.5,5,575.6295042037964,2
329,16038.5,5,583.6295045614243,2
330,16040.0,5,580.2152913808823,2
331,16165.5,5,574.8010774850845,2
332,32.5,3,44.87005686759949,2
333,32.5,4,38.04163038730621,2
334,20.5,3,28.3847758769989,2
335,1.0,4,4.0,2
336,21179.0,5,670.5828214883804,2
337,21157.0,5,677.0681028366089,2
338,21156.0,5,677.89652967453,2
339,21176.0,5,671.4112486839294,2
340,4.0,4,8.0,2
341,4.0,4,8.0,2
342,19.0,6,25.313708186149597,2
343,1.0,4,4.0,2
344,1599.0,8,1356.8224991559982,2
345,1570.5,8,1365.4082847833633,2
346,1578.0,8,1363.9940719604492,2
347,1592.0,8,1356.8224992752075,2
348,1471.0,8,1297.283392906189,2
349,1464.0,8,1291.2833926677704,2
350,1475.5,8,1289.040751695633,2
351,1481.5,8,1295.04075217247,2
352,24214.5,5,736.8843364715576,2
353,24242.5,6,736.0559099912643,2
354,24242.5,6,734.8843370676041,2
355,24213.5,6,736.8843364715576,2
356,380.5,2,507.49747383594513,3
357,348.5,2,505.9827550649643,3
358,380.5,2,507.49747383594513,3
359,348.5,2,505.9827550649643,3
360,512.0,2,582.5685415267944,3
361,530.0,2,579.7401144504547,3
362,530.0,2,579.7401144504547,3
363,512.0,2,582.5685415267944,3
364,323.5,2,500.811182141304,3
365,320.0,2,500.2253956794739,3
366,320.0,2,500.2253956794739,3
367,323.5,2,500.811182141304,3
368,456.0,2,555.3969686031342,3
369,375.0,2,564.2253956794739,3
370,374.0,2,563.3969686031342,3
371,434.5,2,557.9827550649643,3
372,316.0,2,616.0243852138519,3
373,363.0,2,612.3675310611725,3
374,364.0,2,611.5391039848328,3
375,318.0,2,615.1959581375122,3
376,267.5,2,441.8406196832657,3
377,300.0,2,440.7695519924164,3
378,300.0,2,440.7695519924164,3
379,267.5,2,441.8406196832657,3
380,258.5,2,477.01219260692596,3
381,229.0,2,481.7401144504547,3
382,231.0,2,481.7401144504547,3
383,258.5,2,477.01219260692596,3
384,448.5,2,461.3553384542465,3
385,421.0,2,459.11269783973694,3
386,425.0,2,459.94112491607666,3
387,440.0,2,460.7695519924164,3
388,298.5,2,531.4974738359451,3
389,294.0,2,532.4264061450958,3
390,294.0,2,532.4264061450958,3
391,306.5,2,531.4974738359451,3
392,346.0,2,457.11269783973694,3
393,326.5,2,453.3553384542465,3
394,326.5,2,453.3553384542465,3
395,346.0,2,457.11269783973694,3
396,359.0,2,296.08326029777527,3
397,324.0,2,296.911687374115,3
398,324.5,2,296.32590079307556,3
399,358.0,2,296.08326029777527,3
400,150.5,2,326.18376553058624,3
401,169.0,2,323.5979790687561,3
402,167.5,2,325.01219260692596,3
403,150.0,2,327.5979790687561,3
404,249.0,2,306.7695519924164,3
405,261.0,2,305.11269783973694,3
406,237.0,2,305.94112491607666,3
407,247.0,2,306.7695519924164,3
408,263.5,2,333.8406196832657,3
409,223.5,2,338.32590091228485,3
410,221.5,2,337.49747383594513,3
411,262.5,2,333.01219260692596,3
412,203.0,2,296.911687374115,3
413,201.0,2,297.25483322143555,3
414,198.0,2,295.5979790687561,3
415,199.0,2,296.08326029777527,3
416,328.0,2,335.94112491607666,3
417,306.0,2,335.5979790687561,3
418,312.0,2,335.5979790687561,3
419,330.5,2,337.3553384542465,3
420,325.0,2,347.8822498321533,3
421,305.0,2,346.71067690849304,3
