,Altura,Largura,Perimetro,Area,N_vertices,Class
0,195.2050204272421,186.96791168540125,665.2274835109711,28977.5,6,0
1,186.57438194993438,197.0101520226813,658.3990564346313,29022.5,6,0
2,197.16807550919597,186.1001074690716,649.5706293582916,29121.5,6,0
3,186.1001074690716,196.21990215062283,656.3990565538406,29080.5,6,0
4,187.8842728915861,167.95981662290538,599.0853478908539,24565.5,7,0
5,168.43767393311984,187.73718331753037,599.0853476524353,24558.5,6,0
6,187.73718331753037,168.43767393311984,596.2569205760956,24597.5,8,0
7,168.43767393311984,187.73718331753037,596.2569208145142,24604.5,7,0
8,164.7604321431575,173.0028901492689,574.9432129859924,22402.5,6,0
9,172.58621034138272,164.34719346554112,574.3574265241623,22387.0,6,0
10,164.83704074024138,173.4654144202815,574.6000672578812,22377.5,7,0
11,172.73172841142997,164.86737093797547,575.7716401815414,22391.5,6,0
12,197.09198360156608,184.3780084500318,655.5706300735474,29325.5,7,0
13,184.43969204051496,197.58795509848267,652.7422029972076,29394.5,6,0
14,197.41643801872223,184.92768857042475,650.4995622634888,29405.0,7,0
15,185.2815425238035,197.77575685609193,653.3279893398285,29335.0,5,0
16,200.52244263423484,198.01578219929846,1189.2833927869797,1346.0,8,0
17,198.0,200.0,1190.7981115579605,1346.0,8,0
18,200.0,197.0,1191.3838980197906,1323.5,8,0
19,197.01586230555142,200.52244263423484,1189.626538515091,1331.0,8,0
20,195.68597292601225,216.3007165961315,688.4823153018951,33100.5,7,0
21,216.3007165961315,195.68597292601225,688.4823155403137,33093.5,8,0
22,195.68597292601225,216.3007165961315,692.1391699314117,33083.5,7,0
23,216.3007165961315,195.68597292601225,692.1391696929932,33088.5,7,0
24,213.90009350161586,225.2137873221797,3.414213538169861,0.5,3,0
25,213.54624791833734,224.8599564173221,0.0,0.0,1,0
26,214.2953569259026,224.8877497775279,7.414213538169861,2.5,5,0
27,213.54624791833734,224.8599564173221,9.41421353816986,2.5,6,0
28,185.0,174.0,615.3868631124496,26392.0,6,0
29,174.0,185.0,618.2152903079987,26331.0,6,0
30,185.0,174.0,621.0437173843384,26293.0,6,0
31,174.0,185.0,618.2152900695801,26355.0,6,0
32,196.0,177.0,1245.6854149103165,1379.0,8,0
33,177.0,197.0,1249.099628329277,1378.5,8,0
34,197.0,177.0,1248.5138412714005,1372.0,8,0
35,177.0,196.0,1246.5138412714005,1373.0,8,0
36,210.85777196963835,196.75619431164043,8.0,4.0,4,0
37,197.02855123052598,210.75163107316632,8.0,4.0,4,0
38,210.9650444978978,197.02855123052598,8.0,4.0,4,0
39,197.24413806245295,210.9650444978978,17.899494528770447,16.5,5,0
40,101.51970252123476,109.41320761224397,677.1269778013229,1154.0,8,0
41,109.15241637270336,101.51970252123476,678.5411914587021,1149.5,8,0
42,102.13349107907749,109.76452067949826,678.5411916971207,1161.5,8,0
43,109.41320761224397,101.51970252123476,676.5411914587021,1163.5,9,0
44,106.0,100.0,683.5289982557297,982.0,8,0
45,100.0,106.0,15.656854152679443,12.0,4,0
46,106.0,100.0,14.242640614509583,10.5,4,0
47,100.0,106.0,684.1147849559784,987.5,8,0
48,86.97413408594535,95.45941546018392,10.242640614509583,6.5,6,0
49,86.97413408594535,95.45941546018392,10.242640614509583,6.5,6,0
50,86.97413408594535,95.45941546018392,8.828427076339722,5.0,6,0
51,86.97413408594535,95.45941546018392,8.828427076339722,5.0,6,0
52,95.84492683496607,99.37932380530671,331.4213536977768,7560.0,6,0
53,99.29753269845128,95.35197952848173,333.6639941930771,7535.5,6,0
54,95.26935498889452,98.80409910524968,333.6639941930771,7552.5,5,0
55,98.88629834309705,95.76272761361803,331.4213536977768,7577.0,6,0
56,97.01546268507923,103.07764064044152,634.3990573883057,827.5,7,0
57,103.07764064044152,97.98469268207153,634.3990576267242,841.5,7,0
58,97.98469268207153,103.07764064044152,636.984844326973,842.0,7,0
59,103.07764064044152,96.77293009927931,635.8132714033127,830.0,7,0
60,93.33943432440546,91.87083323884681,600.014279961586,1060.0,9,0
61,91.87083323884681,93.33943432440546,599.1858530044556,1072.0,8,0
62,93.33943432440546,92.63503656824453,599.1858526468277,1049.0,9,0
63,91.87083323884681,93.33943432440546,600.842707157135,1038.0,8,0
64,100.3855069220652,98.80915949445173,647.570629119873,1055.5,7,0
65,98.2344135219425,100.46392387319938,646.1564153432846,1047.0,7,0
66,100.46392387319938,98.2344135219425,649.8132696151733,1047.0,7,0
67,98.80915949445173,100.3855069220652,649.2274833917618,1049.5,8,0
68,106.78014796768171,104.5609869884557,686.2396776676178,902.0,7,0
69,104.5609869884557,107.33592129385204,687.0681042671204,903.0,8,0
70,107.33592129385204,104.5609869884557,687.653890132904,898.5,7,0
71,104.5609869884557,105.94810050208545,685.6538910865784,899.5,8,0
72,113.0,104.93807697875924,740.298551440239,1340.0,8,0
73,104.93807697875924,112.00892821556681,740.8843381404877,1326.5,8,0
74,112.21965068560853,105.57106611188503,738.8843381404877,1322.5,8,0
75,105.57106611188503,112.21965068560853,734.8843379020691,1344.5,8,0
76,151.06041837622456,157.57934509319423,1036.0630518198013,1424.0,8,0
77,156.42650031244705,151.89881500525274,1038.6488381624222,1425.5,8,0
78,151.95394038984313,156.92354826475216,1038.8914791345596,1410.0,8,0
79,157.62296786953354,151.5585695366646,1037.4772658348083,1410.5,8,0
80,78.88123984826811,107.9038924228408,304.7939372062683,317.0,4,0
81,36.800135869314396,100.30079760400712,442.03152549266815,481.5,5,0
82,42.85148772213166,105.84540613555224,444.27416598796844,477.0,6,0
83,77.83315488916018,108.30050784737807,4.0,0.0,2,0
84,201.73807275772216,198.82718626988614,8.0,4.0,4,0
85,198.82718626988614,201.73807275772216,8.0,4.0,4,0
86,109.1615774895178,213.1906423837594,544.9848428964615,512.0,4,0
87,213.1906423837594,108.16769388315534,8.0,4.0,4,0
88,54.33691194758863,133.41101903516065,497.9310199022293,548.0,6,0
89,142.27438279606065,75.66372975210778,383.6467499732971,386.0,4,0
90,75.66372975210778,142.27438279606065,7.414213538169861,3.5,5,0
91,132.91820793254774,54.25172808307584,6.0,2.0,4,0
92,66.70832032063167,118.44407963254221,263.13708329200745,303.0,4,0
93,31.400636936215164,99.20181449953424,421.2619733810425,408.5,6,0
94,35.04639781775011,103.02062900215665,16.0,12.0,4,0
95,59.11429607125505,118.93065206245193,7.414213538169861,3.5,5,0
96,157.0390078929436,135.40771765302006,951.9209161996841,1159.0,9,0
97,136.33139770427061,68.6822393344888,474.1736615896225,448.5,4,0
98,159.13830462839547,133.82077566656082,953.0924892425537,1144.0,9,0
99,133.90388343883086,158.64504404487397,952.1635571718216,1149.5,9,0
100,18.788294228055936,92.30926280715278,20.485281229019165,13.0,4,0
101,147.61859638947934,109.82372239184028,21.071067690849304,14.5,4,0
102,110.05907504608605,147.648230602334,212.75230753421783,202.5,4,0
103,147.648230602334,110.05907504608605,212.99494814872742,212.0,4,0
104,16.62077013859466,84.50591695260161,592.1147845983505,593.5,6,0
105,106.02476125886821,128.7487864020473,196.89444279670715,202.5,4,0
106,106.02476125886821,128.7487864020473,197.4802292585373,205.0,4,0
107,15.913830462839549,85.21296849658508,6.828427076339722,3.0,5,0
108,23.345235059857504,130.96946208945045,780.0975396633148,830.0,6,0
109,188.67962264113208,135.67977004697494,301.948264837265,298.5,4,0
110,136.10382066643095,188.41510024411525,34.24264061450958,27.5,3,0
111,188.36666371733614,136.2130683891968,34.24264061450958,29.5,3,0
112,18.439088914585774,87.20665112249179,719.9797902107239,835.0,7,0
113,152.00328943809077,129.80754985747168,205.2375876903534,195.5,4,0
114,130.90550026641355,151.6055737761643,14.828427076339722,11.0,5,0
115,23.005434140654682,98.78385495616173,720.9087224006653,829.5,6,0
116,24.60182920028509,115.72920979597156,787.3351302146912,873.5,6,0
117,136.82927318377452,164.40574807469477,270.5929261445999,277.0,4,0
118,137.53635882922015,165.11284020329853,268.5929261445999,285.0,4,0
119,24.60182920028509,115.72920979597156,788.7493433952332,864.0,6,0
120,30.335622624235025,233.70119811417314,649.4873698949814,655.5,6,1
121,271.15493725912495,98.95453501482385,7.414213538169861,3.5,5,1
122,98.46953843702123,273.2164892534856,121.9827550649643,173.5,4,1
123,12.529964086141668,50.08991914547278,1190.1635568141937,1135.5,4,1
124,126.0,269.0,681.9137740135193,25865.5,4,1
125,269.0,126.0,677.4284934997559,25886.5,4,1
126,126.0,269.0,677.4284929037094,25882.5,4,1
127,269.0,126.0,681.913774728775,25859.5,4,1
128,141.42842712835352,272.8094573140748,10.242640614509583,5.5,5,1
129,273.33678859604686,141.7956275771577,1383.241763472557,1587.5,6,1
130,141.69333082400175,273.33678859604686,1382.9991229772568,1593.0,6,1
131,271.8124353299532,141.42842712835352,9.41421353816986,5.5,5,1
132,96.33275663033837,253.78928267363852,12.242640614509583,8.5,5,1
133,252.0,97.0,612.9604572057724,18912.0,4,1
134,97.0,251.0,612.1320301294327,18910.0,4,1
135,253.29084073452006,96.2925230742242,11.656854152679443,7.0,5,1
136,73.05477397131553,205.5723716845238,835.269112944603,789.0,6,1
137,251.7300141024109,106.56922632730333,590.291410446167,566.5,6,1
138,106.72979902538934,252.2027953849838,592.7766916751862,559.5,6,1
139,205.10058507961404,72.8920434615466,833.8548994064331,785.5,6,1
140,131.97348218486925,236.78260071213003,209.48022842407227,272.0,4,1
