,Altura,Largura,Class
0,300,300,0
1,300,300,0
2,300,300,0
3,300,300,0
4,300,300,0
5,300,300,0
6,300,300,0
7,300,300,0
8,300,300,0
9,300,300,0
10,300,300,0
11,300,300,0
12,300,300,0
13,300,300,0
14,300,300,0
15,300,300,0
16,300,300,0
17,300,300,0
18,300,300,0
19,300,300,0
20,300,300,0
21,300,300,0
22,300,300,0
23,300,300,0
24,300,300,0
25,300,300,0
26,300,300,0
27,300,300,0
28,300,300,0
29,300,300,0
30,300,300,0
31,300,300,0
32,300,300,0
33,300,300,0
34,300,300,0
35,300,300,0
36,300,300,0
37,300,300,0
38,300,300,0
39,300,300,0
40,300,300,0
41,300,300,0
42,300,300,0
43,300,300,0
44,300,300,0
45,300,300,0
46,300,300,0
47,300,300,0
48,300,300,0
49,300,300,0
50,300,300,0
51,300,300,0
52,300,300,0
53,300,300,0
54,300,300,0
55,300,300,0
56,300,300,0
57,300,300,0
58,300,300,0
59,300,300,0
60,300,300,0
61,300,300,0
62,300,300,0
63,300,300,0
64,300,300,0
65,300,300,0
66,300,300,0
67,300,300,0
68,300,300,0
69,300,300,0
70,300,300,0
71,300,300,0
72,300,300,0
73,300,300,0
74,300,300,0
75,300,300,0
76,300,300,0
77,300,300,0
78,300,300,0
79,300,300,0
80,300,300,0
81,300,300,0
82,300,300,0
83,300,300,0
84,300,300,0
85,300,300,0
86,300,300,0
87,300,300,0
88,300,300,0
89,300,300,0
90,300,300,0
91,300,300,0
92,300,300,0
93,300,300,0
94,300,300,0
95,300,300,0
96,300,300,0
97,300,300,0
98,300,300,0
99,300,300,0
100,300,300,0
101,300,300,0
102,300,300,0
103,300,300,0
104,300,300,0
105,300,300,0
106,300,300,0
107,300,300,0
108,300,300,0
109,300,300,0
110,300,300,0
111,300,300,0
112,300,300,0
113,300,300,0
114,300,300,0
115,300,300,0
116,300,300,0
117,300,300,0
118,300,300,0
119,300,300,0
120,300,300,1
121,300,300,1
122,300,300,1
123,300,300,1
124,300,300,1
125,300,300,1
126,300,300,1
127,300,300,1
128,300,300,1
129,300,300,1
130,300,300,1
131,300,300,1
132,300,300,1
133,300,300,1
134,300,300,1
135,300,300,1
136,300,300,1
137,300,300,1
138,300,300,1
139,300,300,1
140,300,300,1
141,300,300,1
142,300,300,1
143,300,300,1
144,300,300,1
145,300,300,1
146,300,300,1
147,300,300,1
148,300,300,1
149,300,300,1
150,300,300,1
151,300,300,1
152,300,300,1
153,300,300,1
154,300,300,1
155,300,300,1
156,300,300,1
157,300,300,1
158,300,300,1
159,300,300,1
160,300,300,1
161,300,300,1
162,300,300,1
163,300,300,1
164,300,300,1
165,300,300,1
166,300,300,1
167,300,300,1
168,300,300,1
169,300,300,1
170,300,300,1
171,300,300,1
172,300,300,1
173,300,300,1
174,300,300,1
175,300,300,1
176,300,300,1
177,300,300,1
178,300,300,1
179,300,300,1
180,300,300,1
181,300,300,1
182,300,300,1
183,300,300,1
184,300,300,1
185,300,300,1
186,300,300,1
187,300,300,1
188,300,300,1
189,300,300,1
190,300,300,1
191,300,300,1
192,300,300,1
193,300,300,1
194,300,300,1
195,300,300,1
196,300,300,1
197,300,300,1
198,300,300,1
199,300,300,1
200,300,300,1
201,300,300,1
202,300,300,1
203,300,300,1
204,300,300,1
205,300,300,1
206,300,300,1
207,300,300,1
208,300,300,1
209,300,300,1
210,300,300,1
211,300,300,1
212,300,300,1
213,300,300,1
214,300,300,1
215,300,300,1
216,300,300,1
217,300,300,1
218,300,300,1
219,300,300,1
220,300,300,1
221,300,300,1
222,300,300,1
223,300,300,1
224,300,300,1
225,300,300,1
226,300,300,1
227,300,300,1
228,300,300,1
229,300,300,1
230,300,300,1
231,300,300,1
232,300,300,1
233,300,300,1
234,300,300,1
235,300,300,1
236,300,300,1
237,300,300,1
238,300,300,1
239,300,300,1
240,300,300,2
241,300,300,2
242,300,300,2
243,300,300,2
244,300,300,2
245,300,300,2
246,300,300,2
247,300,300,2
248,300,300,2
249,300,300,2
250,300,300,2
251,300,300,2
252,300,300,2
253,300,300,2
254,300,300,2
255,300,300,2
256,300,300,2
257,300,300,2
258,300,300,2
259,300,300,2
260,300,300,2
261,300,300,2
262,300,300,2
263,300,300,2
264,300,300,2
265,300,300,2
266,300,300,2
267,300,300,2
268,300,300,2
269,300,300,2
270,300,300,2
271,300,300,2
272,300,300,2
273,300,300,2
274,300,300,2
275,300,300,2
276,300,300,2
277,300,300,2
278,300,300,2
279,300,300,2
280,300,300,2
281,300,300,2
282,300,300,2
283,300,300,2
284,300,300,2
285,300,300,2
286,300,300,2
287,300,300,2
288,300,300,2
289,300,300,2
290,300,300,2
291,300,300,2
292,300,300,2
293,300,300,2
294,300,300,2
295,300,300,2
296,300,300,2
297,300,300,2
298,300,300,2
299,300,300,2
300,300,300,2
301,300,300,2
302,300,300,2
303,300,300,2
304,300,300,2
305,300,300,2
306,300,300,2
307,300,300,2
308,300,300,2
309,300,300,2
310,300,300,2
311,300,300,2
312,300,300,2
313,300,300,2
314,300,300,2
315,300,300,2
316,300,300,2
317,300,300,2
318,300,300,2
319,300,300,2
320,300,300,2
321,300,300,2
322,300,300,2
323,300,300,2
324,300,300,2
325,300,300,2
326,300,300,2
327,300,300,2
328,300,300,2
329,300,300,2
330,300,300,2
331,300,300,2
332,300,300,2
333,300,300,2
334,300,300,2
335,300,300,2
336,300,300,2
337,300,300,2
338,300,300,2
339,300,300,2
340,300,300,2
341,300,300,2
342,300,300,2
343,300,300,2
344,300,300,2
345,300,300,2
346,300,300,2
347,300,300,2
348,300,300,2
349,300,300,2
350,300,300,2
351,300,300,2
352,300,300,2
353,300,300,2
354,300,300,2
355,300,300,2
356,300,300,3
357,300,300,3
358,300,300,3
359,300,300,3
360,300,300,3
361,300,300,3
362,300,300,3
363,300,300,3
364,300,300,3
365,300,300,3
366,300,300,3
367,300,300,3
368,300,300,3
369,300,300,3
370,300,300,3
371,300,300,3
372,300,300,3
373,300,300,3
374,300,300,3
375,300,300,3
376,300,300,3
377,300,300,3
378,300,300,3
379,300,300,3
380,300,300,3
381,300,300,3
382,300,300,3
383,300,300,3
384,300,300,3
385,300,300,3
386,300,300,3
387,300,300,3
388,300,300,3
389,300,300,3
390,300,300,3
391,300,300,3
392,300,300,3
393,300,300,3
394,300,300,3
395,300,300,3
396,300,300,3
397,300,300,3
398,300,300,3
399,300,300,3
400,300,300,3
401,300,300,3
402,300,300,3
403,300,300,3
404,300,300,3
405,300,300,3
406,300,300,3
407,300,300,3
408,300,300,3
409,300,300,3
410,300,300,3
411,300,300,3
412,300,300,3
413,300,300,3
414,300,300,3
415,300,300,3
416,300,300,3
417,300,300,3
418,300,300,3
419,300,300,3
420,300,300,3
421,300,300,3
422,300,300,3
423,300,300,3
424,300,300,3
425,300,300,3
426,300,300,3
427,300,300,3
428,300,300,3
429,300,300,3
430,300,300,3
431,300,300,3
432,300,300,3
433,300,300,3
434,300,300,3
435,300,300,3
436,300,300,3
437,300,300,3
438,300,300,3
439,300,300,3
440,300,300,3
441,300,300,3
442,300,300,3
443,300,300,3
444,300,300,3
445,300,300,3
446,300,300,3
447,300,300,3
448,300,300,3
449,300,300,3
450,300,300,3
451,300,300,3
452,300,300,3
453,300,300,3
454,300,300,3
455,300,300,3
456,300,300,3
457,300,300,3
458,300,300,3
459,300,300,3
460,300,300,3
461,300,300,3
462,300,300,3
463,300,300,3
464,300,300,3
465,300,300,3
466,300,300,3
467,300,300,3
468,300,300,3
469,300,300,3
470,300,300,3
471,300,300,3
472,300,300,3
473,300,300,3
474,300,300,3
475,300,300,3
476,300,300,4
477,300,300,4
478,300,300,4
479,300,300,4
480,300,300,4
481,300,300,4
482,300,300,4
483,300,300,4
484,300,300,4
485,300,300,4
486,300,300,4
487,300,300,4
488,300,300,4
489,300,300,4
490,300,300,4
491,300,300,4
492,300,300,4
493,300,300,4
494,300,300,4
495,300,300,4
496,300,300,4
497,300,300,4
498,300,300,4
499,300,300,4
500,300,300,4
501,300,300,4
502,300,300,4
503,300,300,4
504,300,300,4
505,300,300,4
506,300,300,4
507,300,300,4
508,300,300,4
509,300,300,4
510,300,300,4
511,300,300,4
512,300,300,4
513,300,300,4
514,300,300,4
515,300,300,4
516,300,300,4
517,300,300,4
518,300,300,4
519,300,300,4
520,300,300,4
521,300,300,4
522,300,300,4
523,300,300,4
524,300,300,4
525,300,300,4
526,300,300,4
527,300,300,4
528,300,300,4
529,300,300,4
530,300,300,4
531,300,300,4
532,300,300,4
533,300,300,4
534,300,300,4
535,300,300,4
536,300,300,4
537,300,300,4
538,300,300,4
539,300,300,4
540,300,300,4
541,300,300,4
542,300,300,4
543,300,300,4
544,300,300,4
545,300,300,4
546,300,300,4
547,300,300,4
548,300,300,4
549,300,300,4
550,300,300,4
551,300,300,4
552,300,300,4
553,300,300,4
554,300,300,4
555,300,300,4
556,300,300,4
557,300,300,4
558,300,300,4
559,300,300,4
560,300,300,4
561,300,300,4
562,300,300,4
563,300,300,4
564,300,300,4
565,300,300,4
566,300,300,4
567,300,300,4
568,300,300,4
569,300,300,4
570,300,300,4
571,300,300,4
572,300,300,4
573,300,300,4
574,300,300,4
575,300,300,4
576,300,300,4
577,300,300,4
578,300,300,4
579,300,300,4
580,300,300,4
581,300,300,4
582,300,300,4
583,300,300,4
584,300,300,4
585,300,300,4
586,300,300,4
587,300,300,4
588,300,300,4
589,300,300,4
590,300,300,4
591,300,300,4
592,300,300,4
593,300,300,4
594,300,300,4
595,300,300,4
596,300,300,5
597,300,300,5
598,300,300,5
599,300,300,5
600,300,300,5
601,300,300,5
602,300,300,5
603,300,300,5
604,300,300,5
605,300,300,5
606,300,300,5
607,300,300,5
608,300,300,5
609,300,300,5
610,300,300,5
611,300,300,5
612,300,300,5
613,300,300,5
614,300,300,5
615,300,300,5
616,300,300,5
617,300,300,5
618,300,300,5
619,300,300,5
620,300,300,5
621,300,300,5
622,300,300,5
623,300,300,5
624,300,300,5
625,300,300,5
626,300,300,5
627,300,300,5
628,300,300,5
629,300,300,5
630,300,300,5
631,300,300,5
632,300,300,5
633,300,300,5
634,300,300,5
635,300,300,5
636,300,300,5
637,300,300,5
638,300,300,5
639,300,300,5
640,300,300,5
641,300,300,5
642,300,300,5
643,300,300,5
644,300,300,5
645,300,300,5
646,300,300,5
647,300,300,5
648,300,300,5
649,300,300,5
650,300,300,5
651,300,300,5
652,300,300,5
653,300,300,5
654,300,300,5
655,300,300,5
656,300,300,5
657,300,300,5
658,300,300,5
659,300,300,5
660,300,300,5
661,300,300,5
662,300,300,5
663,300,300,5
664,300,300,5
665,300,300,5
666,300,300,5
667,300,300,5
668,300,300,5
669,300,300,5
670,300,300,5
671,300,300,5
672,300,300,5
673,300,300,5
674,300,300,5
675,300,300,5
676,300,300,5
677,300,300,5
678,300,300,5
679,300,300,5
680,300,300,5
681,300,300,5
682,300,300,5
683,300,300,5
684,300,300,5
685,300,300,5
686,300,300,5
687,300,300,5
688,300,300,5
689,300,300,5
690,300,300,5
691,300,300,5
692,300,300,5
693,300,300,5
694,300,300,5
695,300,300,5
696,300,300,5
697,300,300,5
698,300,300,5
699,300,300,5
700,300,300,5
701,300,300,5
702,300,300,5
703,300,300,5
704,300,300,5
705,300,300,5
706,300,300,5
707,300,300,5
708,300,300,5
709,300,300,5
710,300,300,5
711,300,300,5
712,300,300,5
713,300,300,5
714,300,300,5
715,300,300,5
716,300,300,6
717,300,300,6
718,300,300,6
719,300,300,6
720,300,300,6
721,300,300,6
722,300,300,6
723,300,300,6
724,300,300,6
725,300,300,6
726,300,300,6
727,300,300,6
728,300,300,6
729,300,300,6
730,300,300,6
731,300,300,6
732,300,300,6
733,300,300,6
734,300,300,6
735,300,300,6
736,300,300,6
737,300,300,6
738,300,300,6
739,300,300,6
740,300,300,6
741,300,300,6
742,300,300,6
743,300,300,6
744,300,300,6
745,300,300,6
746,300,300,6
747,300,300,6
748,300,300,6
749,300,300,6
750,300,300,6
751,300,300,6
752,300,300,6
753,300,300,6
754,300,300,6
755,300,300,6
756,300,300,6
757,300,300,6
758,300,300,6
759,300,300,6
760,300,300,6
761,300,300,6
762,300,300,6
763,300,300,6
764,300,300,6
765,300,300,6
766,300,300,6
767,300,300,6
768,300,300,6
769,300,300,6
770,300,300,6
771,300,300,6
772,300,300,6
773,300,300,6
774,300,300,6
775,300,300,6
776,300,300,6
777,300,300,6
778,300,300,6
779,300,300,6
780,300,300,6
781,300,300,6
782,300,300,6
783,300,300,6
784,300,300,6
785,300,300,6
786,300,300,6
787,300,300,6
788,300,300,6
789,300,300,6
790,300,300,6
791,300,300,6
792,300,300,6
793,300,300,6
794,300,300,6
795,300,300,6
796,300,300,6
797,300,300,6
798,300,300,6
799,300,300,6
800,300,300,6
801,300,300,6
802,300,300,6
803,300,300,6
804,300,300,6
805,300,300,6
806,300,300,6
807,300,300,6
808,300,300,6
809,300,300,6
810,300,300,6
811,300,300,6
812,300,300,6
813,300,300,6
814,300,300,6
815,300,300,6
816,300,300,6
817,300,300,6
818,300,300,6
819,300,300,6
820,300,300,6
821,300,300,6
822,300,300,6
823,300,300,6
824,300,300,6
825,300,300,6
826,300,300,6
827,300,300,6
828,300,300,6
829,300,300,6
830,300,300,6
831,300,300,6
832,300,300,7
833,300,300,7
834,300,300,7
835,300,300,7
836,300,300,7
837,300,300,7
838,300,300,7
839,300,300,7
840,300,300,7
841,300,300,7
842,300,300,7
843,300,300,7
844,300,300,7
845,300,300,7
846,300,300,7
847,300,300,7
848,300,300,7
849,300,300,7
850,300,300,7
851,300,300,7
852,300,300,7
853,300,300,7
854,300,300,7
855,300,300,7
856,300,300,7
857,300,300,7
858,300,300,7
859,300,300,7
860,300,300,7
861,300,300,7
862,300,300,7
863,300,300,7
864,300,300,7
865,300,300,7
866,300,300,7
867,300,300,7
868,300,300,7
869,300,300,7
870,300,300,7
871,300,300,7
872,300,300,7
873,300,300,7
874,300,300,7
875,300,300,7
876,300,300,7
877,300,300,7
878,300,300,7
879,300,300,7
880,300,300,7
881,300,300,7
882,300,300,7
883,300,300,7
884,300,300,7
885,300,300,7
886,300,300,7
887,300,300,7
888,300,300,7
889,300,300,7
890,300,300,7
891,300,300,7
892,300,300,7
893,300,300,7
894,300,300,7
895,300,300,7
896,300,300,7
897,300,300,7
898,300,300,7
899,300,300,7
900,300,300,7
901,300,300,7
902,300,300,7
903,300,300,7
904,300,300,7
905,300,300,7
906,300,300,7
907,300,300,7
908,300,300,7
909,300,300,7
910,300,300,7
911,300,300,7
912,300,300,7
913,300,300,7
914,300,300,7
915,300,300,7
916,300,300,7
917,300,300,7
918,300,300,7
919,300,300,7
920,300,300,7
921,300,300,7
922,300,300,7
923,300,300,7
924,300,300,7
925,300,300,7
926,300,300,7
